"Step","fc_balanced_seed42 - classwise_grad/cos_min_vs_maj_mean","fc_balanced_seed42 - classwise_grad/cos_min_vs_maj_mean__MIN","fc_balanced_seed42 - classwise_grad/cos_min_vs_maj_mean__MAX","fc_severe_seed42 - classwise_grad/cos_min_vs_maj_mean","fc_severe_seed42 - classwise_grad/cos_min_vs_maj_mean__MIN","fc_severe_seed42 - classwise_grad/cos_min_vs_maj_mean__MAX","fc_extreme_seed42 - classwise_grad/cos_min_vs_maj_mean","fc_extreme_seed42 - classwise_grad/cos_min_vs_maj_mean__MIN","fc_extreme_seed42 - classwise_grad/cos_min_vs_maj_mean__MAX"
"20","","","","-0.7464775308581103","-0.7464775308581103","-0.7464775308581103","-0.6600738275568824","-0.6600738275568824","-0.6600738275568824"
"40","-0.8361205954757547","-0.8361205954757547","-0.8361205954757547","-0.7131292275532611","-0.7131292275532611","-0.7131292275532611","-0.7199869583459695","-0.7199869583459695","-0.7199869583459695"
"60","","","","-0.6370766016200466","-0.6370766016200466","-0.6370766016200466","-0.6943829273155525","-0.6943829273155525","-0.6943829273155525"
"80","-0.917749370372291","-0.917749370372291","-0.917749370372291","-0.6982260606914427","-0.6982260606914427","-0.6982260606914427","-0.6573574015519865","-0.6573574015519865","-0.6573574015519865"
"100","","","","-0.5130420299542965","-0.5130420299542965","-0.5130420299542965","-0.6763013319478876","-0.6763013319478876","-0.6763013319478876"
"120","-0.9357135070986861","-0.9357135070986861","-0.9357135070986861","-0.7368151963369082","-0.7368151963369082","-0.7368151963369082","-0.6320348154544958","-0.6320348154544958","-0.6320348154544958"
"140","","","","-0.6770162814944701","-0.6770162814944701","-0.6770162814944701","-0.6989467074461013","-0.6989467074461013","-0.6989467074461013"
"160","-0.9198978382809374","-0.9198978382809374","-0.9198978382809374","-0.7676461983885342","-0.7676461983885342","-0.7676461983885342","-0.7271589998158551","-0.7271589998158551","-0.7271589998158551"
"180","","","","-0.714750410022137","-0.714750410022137","-0.714750410022137","-0.7102025254925839","-0.7102025254925839","-0.7102025254925839"
"200","-0.920039820897553","-0.920039820897553","-0.920039820897553","-0.7436435103904031","-0.7436435103904031","-0.7436435103904031","-0.6629511494934187","-0.6629511494934187","-0.6629511494934187"
"220","","","","-0.6827977452306865","-0.6827977452306865","-0.6827977452306865","-0.5412563939995416","-0.5412563939995416","-0.5412563939995416"
"240","-0.9276215319902446","-0.9276215319902446","-0.9276215319902446","-0.6862963022812457","-0.6862963022812457","-0.6862963022812457","-0.49178719202544025","-0.49178719202544025","-0.49178719202544025"
"260","","","","-0.7688926604379756","-0.7688926604379756","-0.7688926604379756","-0.6385804315090665","-0.6385804315090665","-0.6385804315090665"
"280","-0.8747562814230613","-0.8747562814230613","-0.8747562814230613","-0.6671788579413764","-0.6671788579413764","-0.6671788579413764","-0.7137769116369742","-0.7137769116369742","-0.7137769116369742"
"300","","","","-0.7708873252443434","-0.7708873252443434","-0.7708873252443434","-0.5491152557190511","-0.5491152557190511","-0.5491152557190511"
"320","-0.907392688780823","-0.907392688780823","-0.907392688780823","-0.7739859844866532","-0.7739859844866532","-0.7739859844866532","-0.5945194958862406","-0.5945194958862406","-0.5945194958862406"
"340","","","","-0.7219930531998405","-0.7219930531998405","-0.7219930531998405","-0.5139934953691788","-0.5139934953691788","-0.5139934953691788"
"360","-0.9290416834727443","-0.9290416834727443","-0.9290416834727443","-0.7494699950278518","-0.7494699950278518","-0.7494699950278518","-0.36732409400081656","-0.36732409400081656","-0.36732409400081656"
"380","","","","-0.7120202802416703","-0.7120202802416703","-0.7120202802416703","-0.6951652899169162","-0.6951652899169162","-0.6951652899169162"
"400","-0.9229840722703323","-0.9229840722703323","-0.9229840722703323","-0.7985222644986946","-0.7985222644986946","-0.7985222644986946","-0.6162774828364229","-0.6162774828364229","-0.6162774828364229"
"440","-0.916548898766232","-0.916548898766232","-0.916548898766232","","","","","",""
"480","-0.874531218633966","-0.874531218633966","-0.874531218633966","","","","","",""
"520","-0.9374410682098596","-0.9374410682098596","-0.9374410682098596","","","","","",""
"560","-0.9189920818407219","-0.9189920818407219","-0.9189920818407219","","","","","",""
"600","-0.85375178398815","-0.85375178398815","-0.85375178398815","","","","","",""
"640","-0.7366201461689107","-0.7366201461689107","-0.7366201461689107","","","","","",""
"680","-0.8953151239619018","-0.8953151239619018","-0.8953151239619018","","","","","",""
"720","-0.9099669436130816","-0.9099669436130816","-0.9099669436130816","","","","","",""
"760","-0.9128214905483161","-0.9128214905483161","-0.9128214905483161","","","","","",""
"800","-0.7851907724274316","-0.7851907724274316","-0.7851907724274316","","","","","",""
