"Step","fc_balanced_seed42 - classwise_grad/min_conflict_rate_vs_maj_mean","fc_balanced_seed42 - classwise_grad/min_conflict_rate_vs_maj_mean__MIN","fc_balanced_seed42 - classwise_grad/min_conflict_rate_vs_maj_mean__MAX","fc_severe_seed42 - classwise_grad/min_conflict_rate_vs_maj_mean","fc_severe_seed42 - classwise_grad/min_conflict_rate_vs_maj_mean__MIN","fc_severe_seed42 - classwise_grad/min_conflict_rate_vs_maj_mean__MAX","fc_extreme_seed42 - classwise_grad/min_conflict_rate_vs_maj_mean","fc_extreme_seed42 - classwise_grad/min_conflict_rate_vs_maj_mean__MIN","fc_extreme_seed42 - classwise_grad/min_conflict_rate_vs_maj_mean__MAX"
"20","","","","1","1","1","1","1","1"
"40","0.9999999403953552","0.9999999403953552","0.9999999403953552","1","1","1","1","1","1"
"60","","","","1","1","1","1","1","1"
"80","1","1","1","1","1","1","1","1","1"
"100","","","","1","1","1","1","1","1"
"120","1","1","1","1","1","1","1","1","1"
"140","","","","1","1","1","1","1","1"
"160","1","1","1","1","1","1","1","1","1"
"180","","","","1","1","1","1","1","1"
"200","1","1","1","1","1","1","1","1","1"
"220","","","","1","1","1","1","1","1"
"240","1","1","1","1","1","1","1","1","1"
"260","","","","1","1","1","1","1","1"
"280","1","1","1","1","1","1","1","1","1"
"300","","","","1","1","1","1","1","1"
"320","1","1","1","1","1","1","1","1","1"
"340","","","","1","1","1","1","1","1"
"360","1","1","1","1","1","1","1","1","1"
"380","","","","1","1","1","1","1","1"
"400","1","1","1","1","1","1","1","1","1"
"440","1","1","1","","","","","",""
"480","1","1","1","","","","","",""
"520","1","1","1","","","","","",""
"560","1","1","1","","","","","",""
"600","1","1","1","","","","","",""
"640","1","1","1","","","","","",""
"680","1","1","1","","","","","",""
"720","1","1","1","","","","","",""
"760","1","1","1","","","","","",""
"800","0.9999999403953552","0.9999999403953552","0.9999999403953552","","","","","",""
